timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764912333707,24,HTTP Request,200,,SearchMovies-200 1-1,text,true,,452,157,1,1,http://localhost:8080/MT_movie_project_war/api/search?title=Harmada,24,0,1
1764912333731,22,HTTP Request,200,,SearchMovies-200 1-1,text,true,,454,156,2,2,http://localhost:8080/MT_movie_project_war/api/search?title=Taylor,22,0,0
1764912333735,21,HTTP Request,200,,SearchMovies-200 1-2,text,true,,454,169,2,2,http://localhost:8080/MT_movie_project_war/api/search?title=States%20of%20Grace,21,0,1
1764912333753,16,HTTP Request,200,,SearchMovies-200 1-1,text,true,,519,179,3,3,http://localhost:8080/MT_movie_project_war/api/search?title=AVP:%20Alien%20vs.%20Predator,16,0,0
1764912333756,17,HTTP Request,200,,SearchMovies-200 1-2,text,true,,169,179,3,3,http://localhost:8080/MT_movie_project_war/api/search?title=Paris%20Roman%20d'une%20Ville,17,0,0
1764912333760,20,HTTP Request,200,,SearchMovies-200 1-3,text,true,,465,173,3,3,http://localhost:8080/MT_movie_project_war/api/search?title=That%20Time%20of%20Year,20,0,1
1764912333769,16,HTTP Request,200,,SearchMovies-200 1-1,text,true,,169,180,3,3,http://localhost:8080/MT_movie_project_war/api/search?title=Around%20Flamenco%20New%20York,16,0,0
1764912333773,16,HTTP Request,200,,SearchMovies-200 1-2,text,true,,474,180,4,4,http://localhost:8080/MT_movie_project_war/api/search?title=Para%20que%20no%20me%20olvides,16,0,0
1764912333780,16,HTTP Request,200,,SearchMovies-200 1-3,text,true,,500,159,4,4,http://localhost:8080/MT_movie_project_war/api/search?title=Annapolis,16,0,0
1764912333785,15,HTTP Request,200,,SearchMovies-200 1-1,text,true,,786,156,4,4,http://localhost:8080/MT_movie_project_war/api/search?title=Tamara,15,0,0
1764912333789,14,HTTP Request,200,,SearchMovies-200 1-2,text,true,,1403,156,4,4,http://localhost:8080/MT_movie_project_war/api/search?title=Merlin,14,0,0
1764912333786,22,HTTP Request,200,,SearchMovies-200 1-4,text,true,,523,160,4,4,http://localhost:8080/MT_movie_project_war/api/search?title=Angulimala,22,0,0
1764912333796,13,HTTP Request,200,,SearchMovies-200 1-3,text,true,,2335,158,4,4,http://localhost:8080/MT_movie_project_war/api/search?title=Antigone,13,0,0
1764912333801,10,HTTP Request,200,,SearchMovies-200 1-1,text,true,,484,171,5,5,http://localhost:8080/MT_movie_project_war/api/search?title=The%20Penny%20Promise,10,0,0
1764912333803,16,HTTP Request,200,,SearchMovies-200 1-2,text,true,,515,181,5,5,http://localhost:8080/MT_movie_project_war/api/search?title=Ghosts%20of%20Hamilton%20Street,16,0,0
1764912333808,13,HTTP Request,200,,SearchMovies-200 1-4,text,true,,1191,173,5,5,http://localhost:8080/MT_movie_project_war/api/search?title=A%20Dog%20of%20Flanders,13,0,0
1764912333811,11,HTTP Request,200,,SearchMovies-200 1-1,text,true,,469,170,5,5,http://localhost:8080/MT_movie_project_war/api/search?title=Vestido%20de%20Noiva,11,0,0
1764912333809,13,HTTP Request,200,,SearchMovies-200 1-3,text,true,,1503,160,5,5,http://localhost:8080/MT_movie_project_war/api/search?title=La%20Bamba,13,0,0
1764912333819,10,HTTP Request,200,,SearchMovies-200 1-2,text,true,,447,162,5,5,http://localhost:8080/MT_movie_project_war/api/search?title=Film%20Hindi,10,0,0
1764912333811,19,HTTP Request,200,,SearchMovies-200 1-5,text,true,,7646,154,5,5,http://localhost:8080/MT_movie_project_war/api/search?title=Five,19,0,0
1764912333822,11,HTTP Request,200,,SearchMovies-200 1-1,text,true,,169,184,5,5,http://localhost:8080/MT_movie_project_war/api/search?title=Games%20People%20Play:%20Hollywood,11,0,0
1764912333822,12,HTTP Request,200,,SearchMovies-200 1-3,text,true,,490,161,5,5,http://localhost:8080/MT_movie_project_war/api/search?title=Strähl,12,0,0
1764912333821,14,HTTP Request,200,,SearchMovies-200 1-4,text,true,,462,179,5,5,http://localhost:8080/MT_movie_project_war/api/search?title=The%20Fifteen%20Minute%20Show,14,0,0
1764912333829,14,HTTP Request,200,,SearchMovies-200 1-2,text,true,,169,191,6,6,http://localhost:8080/MT_movie_project_war/api/search?title=So%20Ein%20Madel%20Vergisst%20Man%20Nicht,14,0,0
1764912333834,11,HTTP Request,200,,SearchMovies-200 1-3,text,true,,342,156,6,6,http://localhost:8080/MT_movie_project_war/api/search?title=Movie1,11,0,0
1764912333831,14,HTTP Request,200,,SearchMovies-200 1-5,text,true,,830,161,6,6,http://localhost:8080/MT_movie_project_war/api/search?title=Zoot%20Suit,14,0,0
1764912333835,10,HTTP Request,200,,SearchMovies-200 1-4,text,true,,646,160,6,6,http://localhost:8080/MT_movie_project_war/api/search?title=Lysistrata,10,0,0
1764912333833,20,HTTP Request,200,,SearchMovies-200 1-1,text,true,,353,162,6,6,http://localhost:8080/MT_movie_project_war/api/search?title=Test%20Movie,20,0,0
1764912333843,10,HTTP Request,200,,SearchMovies-200 1-2,text,true,,343,156,6,6,http://localhost:8080/MT_movie_project_war/api/search?title=Movie2,10,0,0
1764912333836,18,HTTP Request,200,,SearchMovies-200 1-6,text,true,,466,172,6,6,http://localhost:8080/MT_movie_project_war/api/search?title=America%20Speaks%20Out,18,0,0
1764912333845,9,HTTP Request,200,,SearchMovies-200 1-5,text,true,,674,169,6,6,http://localhost:8080/MT_movie_project_war/api/search?title=Might%20Joe%20Young,9,0,0
1764912333845,14,HTTP Request,200,,SearchMovies-200 1-4,text,true,,476,174,6,6,http://localhost:8080/MT_movie_project_war/api/search?title=Ladri%20di%20barzellette,14,0,0
1764912333845,14,HTTP Request,200,,SearchMovies-200 1-3,text,true,,1499,172,6,6,http://localhost:8080/MT_movie_project_war/api/search?title=The%20Velvet%20Vampire,14,0,0
1764912333854,9,HTTP Request,200,,SearchMovies-200 1-2,text,true,,169,191,7,7,http://localhost:8080/MT_movie_project_war/api/search?title=Major%20League%20Back%20to%20the%20Minors,9,0,0
1764912333853,14,HTTP Request,200,,SearchMovies-200 1-1,text,true,,890,179,7,7,http://localhost:8080/MT_movie_project_war/api/search?title=Buena%20Vista%20Social%20Club,14,0,0
1764912333854,13,HTTP Request,200,,SearchMovies-200 1-6,text,true,,730,158,7,7,http://localhost:8080/MT_movie_project_war/api/search?title=Statisti,13,0,0
1764912333854,14,HTTP Request,200,,SearchMovies-200 1-5,text,true,,6853,160,7,7,http://localhost:8080/MT_movie_project_war/api/search?title=The%20Line,14,0,0
1764912333859,13,HTTP Request,200,,SearchMovies-200 1-4,text,true,,475,160,7,7,http://localhost:8080/MT_movie_project_war/api/search?title=Lovestruck,13,0,0
1764912333863,11,HTTP Request,200,,SearchMovies-200 1-2,text,true,,496,157,7,7,http://localhost:8080/MT_movie_project_war/api/search?title=Elektra,11,0,0
1764912333860,17,HTTP Request,200,,SearchMovies-200 1-3,text,true,,169,189,7,7,http://localhost:8080/MT_movie_project_war/api/search?title=La%20invitación%20a%20la%20pintata,17,0,0
1764912333861,20,HTTP Request,200,,SearchMovies-200 1-7,text,true,,445,156,7,7,http://localhost:8080/MT_movie_project_war/api/search?title=Mapado,20,0,0
1764912333869,16,HTTP Request,200,,SearchMovies-200 1-5,text,true,,886,178,7,7,http://localhost:8080/MT_movie_project_war/api/search?title=Bring%20your%20Smile%20Along,16,0,0
1764912333868,18,HTTP Request,200,,SearchMovies-200 1-6,text,true,,858,169,8,8,http://localhost:8080/MT_movie_project_war/api/search?title=He%20Laughed%20Last,18,0,0
1764912333867,22,HTTP Request,200,,SearchMovies-200 1-1,text,true,,518,176,8,8,http://localhost:8080/MT_movie_project_war/api/search?title=Forty%20Shades%20of%20Blue,22,0,0
1764912333874,16,HTTP Request,200,,SearchMovies-200 1-2,text,true,,458,171,8,8,http://localhost:8080/MT_movie_project_war/api/search?title=Back%20to%20Manhattan,16,0,0
1764912333872,19,HTTP Request,200,,SearchMovies-200 1-4,text,true,,1447,172,8,8,http://localhost:8080/MT_movie_project_war/api/search?title=This%20Happy%20Feeling,19,0,0
1764912333877,15,HTTP Request,200,,SearchMovies-200 1-3,text,true,,842,163,8,8,http://localhost:8080/MT_movie_project_war/api/search?title=Mister%20Cory,15,0,0
1764912333886,12,HTTP Request,200,,SearchMovies-200 1-6,text,true,,1419,186,8,8,http://localhost:8080/MT_movie_project_war/api/search?title=Until%20the%20End%20of%20the%20World,12,0,0
1764912333885,13,HTTP Request,200,,SearchMovies-200 1-5,text,true,,874,171,8,8,http://localhost:8080/MT_movie_project_war/api/search?title=Operation%20Petticoat,13,0,0
1764912333881,17,HTTP Request,200,,SearchMovies-200 1-7,text,true,,1367,175,8,8,http://localhost:8080/MT_movie_project_war/api/search?title=The%20End%20of%20Violence,17,0,0
1764912333890,11,HTTP Request,200,,SearchMovies-200 1-2,text,true,,169,186,8,8,http://localhost:8080/MT_movie_project_war/api/search?title=The%20Last%20Train%20from%20Roppongi,11,0,0
1764912333892,14,HTTP Request,200,,SearchMovies-200 1-4,text,true,,1155,161,8,8,http://localhost:8080/MT_movie_project_war/api/search?title=High%20Time,14,0,0
1764912333889,17,HTTP Request,200,,SearchMovies-200 1-1,text,true,,1379,176,8,8,http://localhost:8080/MT_movie_project_war/api/search?title=Breakfast%20at%20Tiffany's,17,0,0
1764912333899,11,HTTP Request,200,,SearchMovies-200 1-7,text,true,,524,187,9,9,http://localhost:8080/MT_movie_project_war/api/search?title=Police%20Force:%20An%20Inside%20Story,11,0,0
1764912333898,12,HTTP Request,200,,SearchMovies-200 1-6,text,true,,1343,169,9,9,http://localhost:8080/MT_movie_project_war/api/search?title=Wings%20of%20Desire,12,0,0
1764912333892,21,HTTP Request,200,,SearchMovies-200 1-3,text,true,,1379,174,9,9,http://localhost:8080/MT_movie_project_war/api/search?title=Experiment%20in%20Terror,21,0,0
1764912333898,17,HTTP Request,200,,SearchMovies-200 1-5,text,true,,1659,161,9,9,http://localhost:8080/MT_movie_project_war/api/search?title=La%20Poison,17,0,0
1764912333901,19,HTTP Request,200,,SearchMovies-200 1-2,text,true,,3107,171,9,9,http://localhost:8080/MT_movie_project_war/api/search?title=The%20Perfect%20Crime,19,0,0
1764912333906,15,HTTP Request,200,,SearchMovies-200 1-4,text,true,,1391,176,9,9,http://localhost:8080/MT_movie_project_war/api/search?title=The%20Long%20Good%20Friday,15,0,0
1764912333907,18,HTTP Request,200,,SearchMovies-200 1-9,text,true,,169,175,9,9,http://localhost:8080/MT_movie_project_war/api/search?title=Maten%20a%20Jesus%20Perez,18,0,0
1764912333910,17,HTTP Request,200,,SearchMovies-200 1-7,text,true,,461,167,9,9,http://localhost:8080/MT_movie_project_war/api/search?title=The%20Final%20Job,17,0,0
1764912333886,43,HTTP Request,200,,SearchMovies-200 1-8,text,true,,878,174,9,9,http://localhost:8080/MT_movie_project_war/api/search?title=The%20Perfect%20Furlough,43,0,0
1764912333915,18,HTTP Request,200,,SearchMovies-200 1-5,text,true,,2965,160,9,9,http://localhost:8080/MT_movie_project_war/api/search?title=A%20Family,18,0,0
1764912333906,27,HTTP Request,200,,SearchMovies-200 1-1,text,true,,458,168,9,9,http://localhost:8080/MT_movie_project_war/api/search?title=Mi%20vida%20dentro,27,0,0
1764912333921,12,HTTP Request,200,,SearchMovies-200 1-2,text,true,,458,162,9,9,http://localhost:8080/MT_movie_project_war/api/search?title=Vektløs,12,0,0
1764912333913,27,HTTP Request,200,,SearchMovies-200 1-3,text,true,,9167,160,10,10,http://localhost:8080/MT_movie_project_war/api/search?title=The%20King,26,0,0
